region,time,GDP,emissions
A,0,240.0,0.0
A,1,240.95,77.11
A,2,241.913499,77.42211209999999
A,3,242.880664,77.7315688
A,4,243.8517,78.0423408
A,5,244.826617,78.3543535
A,6,245.805428,78.6676126
A,7,246.788163,78.9821267
A,8,247.77481900000004,79.2978963
A,9,248.765417,79.6149279
A,10,249.75997500000003,79.93322690000001
B,0,250.0,0.0
B,1,250.89999999999998,82.08500000000001
B,2,251.81375000000003,82.38795400000001
B,3,252.73062899999996,82.6878577
B,4,253.650845,82.9889339
B,5,254.57442,83.2911066
B,6,255.501354,83.5943788
B,7,256.431655,83.8987537
B,8,257.365358,84.20423939999999
B,9,258.302444,84.5108344
B,10,259.24295800000004,84.81854880000002
C,0,260.0,0.0
C,1,260.9,86.07999999999998
C,2,261.814003,86.3856967
C,3,262.731,86.68817920000001
C,4,263.651208,86.99180420000002
C,5,264.574638,87.2964906
C,6,265.50131,87.60224579999999
C,7,266.431223,87.90907130000001
C,8,267.36438999999996,88.2169704
C,9,268.300831,88.52594909999999
C,10,269.240554,88.8360108
